operation,ligand,smile,time,score
dock,DB00208,c1ccc(c(c1)C[N@@H+]2CCc3c(ccs3)C2)Cl,1.3269100189208984,None
dock,DB00321,C[NH+](C)CCC=C1c2ccccc2CCc3c1cccc3,2.8902485370635986,None
dock,DB00265,CCN(c1ccccc1C)C(=O)/C=C\C,3.065946102142334,None
dock,DB00389,CCOC(=O)n1ccn(c1=S)C,2.8799309730529785,None
dock,DB00333,CCC(=O)C(C[C@@H](C)[NH+](C)C)(c1ccccc1)c2ccccc2,3.169194459915161,None
dock,DB00437,c1c2c([nH]n1)ncnc2O,2.936645746231079,None
dock,DB00391,CC[N@@H+]1CCC[C@H]1CNC(=O)c2cc(ccc2OC)S(=O)(=O)N,3.077255964279175,None
dock,DB00427,Cc1ccc(cc1)/C(=C\C[NH+]2CCCC2)/c3ccccn3,3.0423154830932617,None
dock,DB00340,C[N@H+]1CCC[C@@H](C1)CC2c3ccccc3Sc4c2cccc4,3.2897791862487793,None
dock,DB00336,c1cc(oc1/C=N/NC(=O)N)[N+](=O)[O-],3.2982218265533447,None
dock,DB00365,Cc1c2c(cc(c1F)[N@@]3CC[NH2+][C@H](C3)C)n(cc(c2=O)C(=O)[O-])C4CC4,3.263690233230591,None
dock,DB00392,CC[NH+](CC)[C@@H](C)CN1c2ccccc2Sc3c1cccc3,3.246955156326294,None
dock,DB00351,CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C,3.419276714324951,None
dock,DB00401,CC1=C([C@@H](C(=C(N1)C)C(=O)OCC(C)C)c2ccccc2[N+](=O)[O-])C(=O)OC,3.267611026763916,None
dock,DB00422,COC(=O)[C@@H](c1ccccc1)[C@H]2CCCC[NH2+]2,3.240565776824951,None
dock,DB00409,CC[N@@H+]1CCC[C@H]1CNC(=O)c2c(ccc(c2OC)Br)OC,3.2569644451141357,None
dock,DB00498,c1ccc(cc1)C2C(=O)c3ccccc3C2=O,3.1127092838287354,None
dock,DB00203,CCCc1c2c(c(=O)nc([nH]2)c3cc(ccc3OCC)S(=O)(=O)N4CC[NH+](CC4)C)n(n1)C,3.726888656616211,None
dock,DB00501,Cc1c(nc[nH]1)CSCCN/C(=N\C#N)/NC,3.1963846683502197,None
dock,DB00415,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)[NH3+])C(=O)[O-])C,3.3692026138305664,None
dock,DB00372,CCSc1ccc2c(c1)N(c3ccccc3S2)CCCN4CC[NH+](CC4)C,3.513223886489868,None
dock,DB00493,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/c3csc(n3)N)SC1)C(=O)[O-],3.296626567840576,None
dock,DB00215,C[NH+](C)CCC[C@]1(c2ccc(cc2CO1)C#N)c3ccc(cc3)F,3.8451504707336426,None
dock,DB00182,C[C@@H](Cc1ccccc1)[NH3+],5.502234697341919,-5.271
dock,DB00182,C[C@H](Cc1ccccc1)[NH3+],5.583580255508423,-7.05
dock,DB00181,c1cc(ccc1[C@@H](CC(=O)[O-])C[NH3+])Cl,5.626388072967529,-7.041
dock,DB00184,C[N@H+]1CCC[C@H]1c2cccnc2,5.6800291538238525,-5.269
dock,DB00185,C[C@@H]1O[C@]2(C[NH+]3CCC2CC3)CS1,5.861576795578003,-6.559
dock,DB00184,C[N@@H+]1CCC[C@H]1c2cccnc2,5.922117233276367,-7.049
dock,DB00167,CC[C@H](C)[C@@H](C(=O)[O-])[NH3+],6.020128011703491,-7.036
dock,DB00173,c1[nH]c2c(ncnc2n1)N,6.094198226928711,-6.773
dock,DB00162,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C,6.396918535232544,-5.294
dock,DB00261,c1cc(c(c2c1[NH+]=C3NC(=O)CN3C2)Cl)Cl,6.279979944229126,-6.96
