TITLE,SMILES,ORZ3CLPro_6lu7_A_1,ORZ3CLPro_6w63_A,ORZ3CLPro_6w63_A_1_H,ORZ3CLPro_6wqf_A_1,ORZ3CLPro_7BQY_A_1_F,ORZ3CLPro_X1MSB_A_1_H,ORZNSP10-16_6YZ1_A_1_SFG_H,ORZNSP10-16_6w4h_A_1,ORZNSP10-16_6w61_A_1,ORZNSP10-16_6w75_A,ORZNSP10-16_6wjt_A_1,ORZNSP10-16_6wkq_A_1,ORZNSP10-16_6wq3_A_1,ORZNSP10-16_6wvn_A_1,ORZNSP15-6x1b_A_1,ORZNSP15_6wxc_Tipi_A_1
DB00120,c1ccc(cc1)C[C@@H](C(=O)[O-])[NH3+],-6.895728,-6.527501999999999,-6.527513,-6.949267999999999,-6.9741919999999995,-3.7268779999999997,-7.121666,-8.262785000000001,-7.387662,-8.865327,-7.651511999999999,-8.543607000000002,-8.203577000000001,-10.536985000000001,-5.702632,-5.779679
DB00121,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)[O-])NC(=O)N2,-3.9475540000000002,-7.279955,-7.279955,-8.375217,-8.612219999999999,-2.517769,-5.768575,-9.756839,-7.998131,-7.753291,-9.13309,-10.689077000000001,-9.969826,-10.074615,-4.6235610000000005,-8.061444999999999
DB00123,C(CC[NH3+])C[C@@H](C(=O)[O-])[NH3+],-4.022761,-4.33148,-4.33148,-7.985005,-7.994669,-3.760873,-8.644711000000001,-11.135639,-9.132217,-9.484248,-8.923038,-9.126719,-10.77312,-12.74193,-5.959383,-6.925394
DB00126,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O,-3.617697,-2.351697,-2.351697,-5.492301,-6.666219,-2.902521,-3.964437,-6.597262,-7.548539,-6.847497,-6.53231,-6.762135000000001,-6.451212,-6.964903,-4.284180999999999,-6.030654
DB00134,CSCC[C@@H](C(=O)[O-])[NH3+],-4.347607,-3.707205,-3.707205,-6.777621000000001,-6.073983,-4.1191629999999995,-7.239003,-9.775419,-8.248755000000001,-8.926532,-8.351313000000001,-8.05229,-8.322922,-9.758837,-5.427433000000001,-5.101317
DB00135,c1cc(ccc1C[C@@H](C(=O)[O-])[NH3+])O,,-6.321136,-6.321133000000001,-7.276646,-7.709838,-2.291369,-7.581736,-8.796438,-8.169848,-9.053600999999999,-9.278198,-8.429649000000001,-8.901894,-11.93395,-5.6276779999999995,-5.696333999999999
DB00136,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,-5.324888,-7.2585630000000005,-7.2585630000000005,-5.767775,-10.158247,-4.321228,-4.066934,-8.947286,-7.062912,-4.50841,-9.189362,-9.255088,-8.897801,-8.270679,-3.076908,-3.8734309999999996
DB00140,Cc1cc2c(cc1C)n(c-3nc(=O)[nH]c(=O)c3n2)C[C@@H]([C@@H]([C@@H](CO)O)O)O,-4.757089,-7.462302,-7.462302,-7.638213,-8.034395,-0.760983,-6.978905999999999,-8.563746,-6.308053,-7.1520660000000005,-10.143999,-9.997585,-8.538296,-9.060313,-3.950943,-5.5158190000000005
DB00146,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C,-5.585782,-7.051449000000001,-7.0514529999999995,-5.9583,-10.438811,-4.485278,-5.786622,-9.067809,-6.433535,-3.477468,-8.591171000000001,-8.939172,-8.298300999999999,-8.710834,-2.052899,-1.817129
DB00149,CC(C)C[C@@H](C(=O)[O-])[NH3+],-3.838538,-4.074732,-4.074732,-5.919542,-6.030245,-3.349932,-5.791601999999999,-10.485991,-7.674554,-8.997373,-7.802588,-7.809535,-7.540066,-8.566089,-5.200531,-4.450044999999999
DB00152,Cc1c(sc[n+]1Cc2cnc(nc2N)C)CCO,-4.37677,-5.573933,-5.573933,-8.679038,-7.616689,-2.090877,-5.524039,-8.304592999999999,-8.301060000000001,-7.338313,-8.665579,-11.320400999999999,-8.151213,-8.538089999999999,-2.99175,-4.2454410000000005
DB00162,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C,-5.426591999999999,-9.753724,-9.753724,-7.3114300000000005,-8.252913000000001,-3.539957,-6.886372,-8.064226,-6.874434,-3.639035,-8.030485,-8.511475,-8.348574000000001,-7.84963,-4.933737000000001,-1.58649
DB00165,Cc1c(c(c(cn1)CO)CO)O,-6.223278,-3.627082,-3.627082,-6.71117,-6.6574279999999995,-3.585432,-5.852395,-7.667089999999999,-7.475094,-8.075834,-7.712631,-7.8742350000000005,-8.216763,-7.939989999999999,-3.789225,-4.728606
DB00167,CC[C@H](C)[C@@H](C(=O)[O-])[NH3+],-3.490653,-3.362329,-3.362329,-6.615346000000001,-6.49921,-3.538278,-6.2528239999999995,-10.624558,-7.806514,-9.024089,-7.891412,-7.695322,-7.388773,-9.438456,-5.037356,-4.8544089999999995
DB00168,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)[O-])[NH3+],-7.7995339999999995,-7.346705,-7.346710000000001,-7.964596,-9.576015,-3.0048779999999997,-6.248347,-10.74008,-8.727552000000001,-8.733324,-12.192089999999999,-11.871433,-11.806460000000001,-11.682231,-6.300686,-6.081271
DB00170,CC1=CC(=O)c2ccccc2C1=O,-5.308767,-5.149729,-5.149729,-5.476509,-6.208413,-0.42249899999999996,-3.150593,-6.666542999999999,-4.664536,-4.349791000000001,-7.468,-7.3444720000000006,-6.900902,-6.920516,-3.7869660000000005,-3.459475
DB00173,c1[nH]c2c(ncnc2n1)N,-4.621913,-4.033348,-4.033348,-6.73194,-5.787746,-2.149068,-6.113201,-7.065598,-8.930750999999999,-7.090304,-6.630652,-6.718936,-7.131772,-9.198656,-4.962299,-6.361190000000001
DB00175,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)[O-])O)O)O,-4.429193,-7.693401,-7.693408,-7.996314999999999,-8.031773,-2.874915,-5.003613,-10.84728,-6.689952000000001,-5.493467,-8.924268,-9.604449,-8.106773,-10.124166,-2.904889,-1.505949
DB00176,COCCCC/C(=N\OCC[NH3+])/c1ccc(cc1)C(F)(F)F,-6.344086,-7.122594,-7.122594,-7.535236,-10.079136,-4.480079,-3.31052,-8.505964,-7.073995,-5.762273,-9.864224,-9.943057000000001,-10.065881,-9.140042,-1.965682,-1.09076
DB00177,CCCCC(=O)N(Cc1ccc(cc1)c2ccccc2c3n[n-]nn3)[C@@H](C(C)C)C(=O)[O-],-2.375253,-4.580934,-4.580931,-7.474697,-6.431462000000001,-3.657728,-3.104622,-7.639800999999999,-6.6823559999999995,-7.2875179999999995,-8.765301,-6.323251,-7.704803,-10.273579,-0.820436,-4.60013
DB00179,C[C@H](Cc1ccc(c(c1)O)O)[C@@H](C)Cc2ccc(c(c2)O)O,-7.138704,-7.443898,-7.4438889999999995,-9.594625,-11.577627,-6.036877,-8.384103,-9.860503,-9.457666,-7.244077000000001,-10.274157,-10.655039,-10.995505999999999,-10.352657,-5.936863,-6.233142
DB00181,c1cc(ccc1[C@@H](CC(=O)[O-])C[NH3+])Cl,-6.977214999999999,-6.6690570000000005,-6.669059,-7.933932,-7.364097999999999,-3.293315,,-8.619057000000002,-8.287834,-10.955283999999999,-8.279301,-8.178152,,-10.425652000000001,,
DB00181,c1cc(ccc1[C@H](CC(=O)[O-])C[NH3+])Cl,,,,,,,-5.441763,,,,,,-8.272582,,-5.773232,-6.632736
DB00182,C[C@@H](Cc1ccccc1)[NH3+],-5.351783999999999,,,,-7.366834,,,-6.635959,,,-7.557364,,,,-3.9852809999999996,-4.199382
DB00182,C[C@H](Cc1ccccc1)[NH3+],,-5.6264199999999995,-5.626417,-6.828807,,-2.909623,-5.119661,,-7.047673,-6.629631,,-7.503547,-7.632347,-7.3323160000000005,,
DB00184,C[N@@H+]1CCC[C@H]1c2cccnc2,-5.78175,,,,-7.724525999999999,-2.185413,-5.753984,-7.787589,,,,-8.049365,,,-4.524245,
DB00184,C[N@H+]1CCC[C@H]1c2cccnc2,,-5.107434,-5.107434,-7.040847,,,,,-8.217203,-7.420289,-8.611678999999999,,-8.624407000000001,-8.760812,,-5.6090279999999995
DB00185,C[C@@H]1O[C@]2(C[NH+]3CCC2CC3)CS1,,-5.76474,-5.764742,,,0.13926,-4.999655000000001,,-6.360059,,,-6.8467899999999995,-7.228888,-6.882357000000001,,
DB00185,C[C@H]1O[C@]2(C[NH+]3CCC2CC3)CS1,-3.630524,,,-5.906209,-6.655805,,,-7.120499000000001,,-5.869256,-6.867700999999999,,,,-3.7181629999999997,-3.6852709999999997
DB00186,c1ccc(c(c1)C2=N[C@@H](C(=O)Nc3c2cc(cc3)Cl)O)Cl,-4.641799,-6.814353,-6.815491000000001,-6.021507,,-5.200197,,,-6.284223,-5.090375,,,-7.339908,-6.953911,,
DB00186,c1ccc(c(c1)C2=N[C@H](C(=O)Nc3c2cc(cc3)Cl)O)Cl,,,,,-7.394176,,-4.019683000000001,-7.522028999999999,,,-6.669981,-7.132074,,,-3.212065,-3.023685
DB00187,CC(C)[NH2+]C[C@@H](COc1ccc(cc1)CCC(=O)OC)O,,-7.5189449999999995,-7.518946000000001,,,,-4.351038,,,,,,,,,
DB00187,CC(C)[NH2+]C[C@H](COc1ccc(cc1)CCC(=O)OC)O,-5.953179,,,-8.850278999999999,-9.882997,-6.5586850000000005,,,,,,,,,-4.301146,-3.304706
DB00189,CC[C@@](/C=C/Cl)(C#C)O,,-3.661983,-3.661983,,-7.2499910000000005,-2.302291,-3.664361,,-6.113962,-4.639723,-5.77976,,,-5.875957,,-3.573903
DB00189,CC[C@](/C=C/Cl)(C#C)O,-3.082193,,,-4.8847059999999995,,,,-4.747305,,,,-5.399035,-5.875945,,-3.1454299999999997,
DB00191,CC(C)(Cc1ccccc1)[NH3+],-5.44423,-5.515286,-5.51529,-6.472123000000001,-7.392022,-2.319555,-5.172524,-6.4231110000000005,-6.790735000000001,-6.6826490000000005,-7.656584,-7.148485000000001,-7.650169,-7.200022,-2.815757,-4.050276
DB00192,CC(C)[NH2+]CCCC1(c2ccccc2-c3c1cccc3)C(=O)N,-3.5274379999999996,-7.271203,-7.271203,-6.23027,-7.547165,-2.237752,-6.606174,-8.83997,-6.548265,-5.462408,-9.084985000000001,-9.133548,-8.08431,-9.556077,-2.106015,-3.757452
DB00193,C[NH+](C)C[C@H]1CCCC[C@@]1(c2cccc(c2)OC)O,-4.781630000000001,-5.781262,-5.7812589999999995,-5.784138,-7.854519,-1.8288259999999998,-6.660131,-6.786344000000001,-5.620964,-4.816364,-8.365133,-7.949124,-7.4730419999999995,-7.158523,-0.795186,-0.965917
DB00194,c1nc(c2c(n1)n(cn2)[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)N,-4.898651999999999,-4.881548,-4.881556,-8.435711,-7.708444999999999,-2.081289,-7.658734,-8.709228999999999,-9.112198,-7.5097059999999995,-8.738096,-9.525836,-8.787825,-9.173948,-2.80919,-7.3843369999999995
DB00195,CC(C)[NH2+]C[C@@H](COc1ccc(cc1)CCOCC2CC2)O,-6.222601999999999,-7.964111,-7.9641210000000004,,,-5.994738,,,,,,,,,-3.006787,
DB00195,CC(C)[NH2+]C[C@H](COc1ccc(cc1)CCOCC2CC2)O,,,,-9.132577000000001,-8.477274000000001,,,,,-5.509014,,,,,,-3.954689
DB00196,c1cc(c(cc1F)F)C(Cn2cncn2)(Cn3cncn3)O,-4.5475970000000006,-6.1672519999999995,-6.167242,-8.035928,-8.765599,-2.5431340000000002,-3.428568,-7.210656,-6.558638,-6.396742,-8.552538,-8.703318,-7.845092999999999,-7.448613000000001,-2.417178,-2.487862
DB00197,Cc1c(c2c(c(c1O)C)CC[C@@](O2)(C)COc3ccc(cc3)C[C@@H]4C(=O)[N-]C(=O)S4)C,,,,,,,,,,,,,-11.00712,,,
DB00197,Cc1c(c2c(c(c1O)C)CC[C@@](O2)(C)COc3ccc(cc3)C[C@H]4C(=O)[N-]C(=O)S4)C,-6.598665,,,,,,,,-7.993567,,,,,,,
DB00197,Cc1c(c2c(c(c1O)C)CC[C@](O2)(C)COc3ccc(cc3)C[C@@H]4C(=O)[N-]C(=O)S4)C,,,,-9.720633,,-2.3842,,,,,,,,,-4.247133,-1.348835
DB00197,Cc1c(c2c(c(c1O)C)CC[C@](O2)(C)COc3ccc(cc3)C[C@H]4C(=O)[N-]C(=O)S4)C,,-8.869237,-8.869242999999999,,-7.787167,,,-9.335083000000001,,-6.082286,-10.225693,-10.928996000000001,,-11.296793,,
DB00198,CCC(CC)O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)[NH3+])C(=O)OCC,-7.2287,-5.973867,-5.973867,-6.441597,-9.745391999999999,-3.7228,-5.576438,-9.29231,-7.144869,-5.342217,-8.602309,-8.697827,-9.531164,-8.229007000000001,-4.140073999999999,-2.2084509999999997
DB00203,CCCc1c2c(c(=O)nc([nH]2)c3cc(ccc3OCC)S(=O)(=O)N4CC[NH+](CC4)C)n(n1)C,-2.984768,-6.607492,-6.607492,-6.436168,-9.060733,1.139318,-5.132587,-7.635056,-7.803202000000001,-5.147589,-7.517301,-8.246224,-7.005635000000001,-8.478823,-3.346389,-3.7921769999999997
DB00204,C[N@@H+](CCc1ccc(cc1)NS(=O)(=O)C)CCOc2ccc(cc2)NS(=O)(=O)C,,-8.5052,-8.505203,,-8.33245,,,,,,-8.517632,-9.700878999999999,,,-2.015695,-1.408507
DB00204,C[N@H+](CCc1ccc(cc1)NS(=O)(=O)C)CCOc2ccc(cc2)NS(=O)(=O)C,-3.9762519999999997,,,-6.221925,,-2.9371,-6.665661,,,-4.0812870000000006,,,,,,
DB00205,CCc1c(c(nc(n1)N)N)c2ccc(cc2)Cl,-4.554434,-5.748434,-5.748434,-6.339757,-6.858719000000001,-2.346057,-6.324864,-8.163919,-6.675733999999999,-6.426108999999999,-7.88545,-9.554165,-8.454464,-7.822978,-4.746641,-7.9034699999999996
DB00208,c1ccc(c(c1)C[N@@H+]2CCc3c(ccs3)C2)Cl,-8.930023,-7.295619,-7.295611,,-9.556067,-2.389267,-7.912052,,,,,,,-8.818047,-4.665936,
DB00208,c1ccc(c(c1)C[N@H+]2CCc3c(ccs3)C2)Cl,,,,-6.517206,,,,-8.606131,-6.426362,-5.818642,-9.139952000000001,-9.159343,-9.809147,,,-2.377527
DB00209,c1ccc(cc1)C(c2ccccc2)(C(=O)OC3C[C@H]4CC[C@@H](C3)[N+]45CCCC5)O,-3.412433,-8.961133,-8.961132000000001,-7.120042999999999,-8.416716000000001,-0.195771,-4.99245,-9.144242,-5.925985,-4.377897,-8.826217,-8.993331,-8.020027,-7.453949000000001,-2.567671,-1.385177
DB00211,COc1ccc(c(c1)[C@@H](CNC(=O)C[NH3+])O)OC,,,,,,-3.911397,,,-8.217141,-7.410543,,,,,-6.370471,-4.881228
DB00211,COc1ccc(c(c1)[C@H](CNC(=O)C[NH3+])O)OC,-6.508326,-5.402179,-5.402174,-7.9664649999999995,-8.283838000000001,,-6.654186,-11.725012,,,-12.266159,-12.487591,-11.652138,-11.496336999999999,,
DB00213,COc1ccnc(c1OC)C[S@@](=O)c2[nH]c3cc(ccc3n2)OC(F)F,-5.797480999999999,-7.953463,-7.953463,-6.678035,,-3.089196,-8.469227,,-7.446707000000001,,,-9.56691,-9.381979,-9.226881,,-2.174203
DB00213,COc1ccnc(c1OC)C[S@](=O)c2[nH]c3cc(ccc3n2)OC(F)F,,,,,-7.3823490000000005,,,-9.311760000000001,,-7.401456,-9.273756,,,,-4.7528690000000005,
DB00214,Cc1cccc(c1)Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C,-7.388103999999999,-6.940639,-6.940644,-9.309503,-10.578753,-3.218773,-8.010102,-8.757448,-8.19091,-6.671711,-10.055511,-9.172716000000001,-10.287364,-8.777678,-4.114618,-1.9139110000000001
DB00215,C[NH+](C)CCC[C@@]1(c2ccc(cc2CO1)C#N)c3ccc(cc3)F,,-6.557069,-6.557078999999999,-7.267313000000001,-8.429376,,,-7.842954,-6.257947,-3.3884529999999997,-8.688002000000001,-8.346893,,,,
DB00215,C[NH+](C)CCC[C@]1(c2ccc(cc2CO1)C#N)c3ccc(cc3)F,-4.628153,,,,,-5.146821,-5.4527220000000005,,,,,,-7.688416999999999,-7.600213,-2.7039299999999997,-3.731257
DB00216,C[N@@H+]1CCC[C@@H]1Cc2c[nH]c3c2cc(cc3)CCS(=O)(=O)c4ccccc4,,-7.272939,-7.272936,-9.034514999999999,,,,,,-5.5847430000000005,,,,,-2.779042,-4.743576999999999
DB00216,C[N@H+]1CCC[C@@H]1Cc2c[nH]c3c2cc(cc3)CCS(=O)(=O)c4ccccc4,-5.824214,,,,-10.244382,-1.916091,-7.091539999999999,-11.106567,-8.213543,,-10.232661,-10.864902,-10.982548,-11.149028,,
DB00217,CN/C(=[NH+]\C)/NCc1ccccc1,-7.9532490000000005,-5.800123999999999,-5.800113,-5.58819,-8.149376,-3.1668439999999998,-4.664018,-9.150264,-6.510229,-5.4020150000000005,-9.626044,-9.589413,-9.416696,-9.220021000000001,-5.428192,-4.402595
DB00218,COc1c2c(cc(c1N3C[C@@H]4CCC[NH2+][C@@H]4C3)F)c(=O)c(cn2C5CC5)C(=O)[O-],-3.7379230000000003,-5.372571,-5.372566,-7.5601970000000005,-7.163724,-3.116508,-2.420397,-7.4188529999999995,-8.345482,-4.549652,-8.097389999999999,-7.817097,-7.800663,-9.741783999999999,-3.091354,-3.942793
DB00219,CC[N+](C)(CC)CCOC(=O)[C@@](c1ccccc1)(C2CCCCC2)O,-5.451143,,,,,,-5.426719,,-5.9760599999999995,,,,-8.606119999999999,,-3.627025,-2.3471740000000003
DB00219,CC[N+](C)(CC)CCOC(=O)[C@](c1ccccc1)(C2CCCCC2)O,,-6.600447999999999,-7.683769,-6.017624,-9.637777999999999,-1.4975209999999999,,-8.223856,,-4.6785440000000005,-8.266459,-9.180424,,-8.560345,,
DB00220,Cc1c(cccc1O)C(=O)N[C@@H](CSc2ccccc2)[C@@H](C[N@@H+]3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O,,,,-6.776019,-9.327707,-4.824862,,-6.694369999999999,,,,-6.445887,,-6.826907,,-2.087103
